states,x,y
Himachal Pradesh,-87.0,172.0
Punjab,-115.0,152.0
Uttarakhand,-49.0,138.0
Uttar Pradesh,-31.0,77.0
Haryana,-97.0,120.0
Rajasthan,-145.0,67.0
Gujarat,-178.0,12.0
Bihar,52.0,54.0
Jharkhand,46.0,17.0
West Bengal,85.0,8.0
Madhya Pradesh,-70.0,13.0
Chhattisgarh,-9.0,-30.0
Odisha,36.0,-25.0
Maharashtra,-120.0,-51.0
Telangana,-58.0,-80.0
Goa,-136.0,-124.0
Karnataka,-109.0,-133.0
Andhra Pradesh,-56.0,-140.0
Kerala,-98.0,-208.0
Tamil Nadu,-60.0,-180.0
Arunachal Pradesh,191.0,106.0
Assam,160.0,68.0
Meghalaya,145.0,48.0
Nagaland,200.0,62.0
Manipur,189.0,40.0
Mizoram,172.0,13.0
Tripura,152.0,22.0
Sikkim,100.0,91.0
